,Model,Train RMSE,Test RMSE,Train MSE,Test MSE,Train MAE,Test MAE,Train R2 Score,Test R2 Score
0,Linear Regression,0.7035961178882731,0.6892915567657479,0.4950474971074487,0.4751228502285483,0.5163138899599639,0.5058523453108064,0.8051966837171041,0.8006858864630816
1,Ridge,0.7035961724007783,0.6892782634131036,0.4950475738170258,0.4751045244137838,0.516335190512024,0.5058666669265014,0.805196653531556,0.8006935741453787
2,Lasso,0.7036111316948036,0.6890940188483731,0.4950686246448422,0.47485056681260196,0.5165500490955579,0.5059910642621462,0.8051883699403994,0.8008001094006946
3,Decision Tree,0.3827103651010345,0.5227731895546915,0.14646722355576713,0.2732918077171854,0.24664488003388935,0.3282315836069228,0.9423645184712067,0.8853540418739057
4,Random Forest,0.16105289306910112,0.4012913555094515,0.02593803436592732,0.161034752006613,0.09765938004853879,0.2447666273362778,0.989793272076183,0.9324458951418645
5,XGBoost,0.0583187896493571,0.3766518047799729,0.0034010812261659603,0.1418665820440108,0.037565081275414844,0.21884616499930157,0.9986616599302575,0.9404869455825732
